@relation R_data_frame

@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute outlier {no,yes}

@data
0.469136,0.45977,0.405063,0.34,0,0,0.666667,0.255814,no
0.82716,0.632184,0.227848,0.24,0,0,0.683333,0.255814,no
0.82716,0.701149,0.379747,0.4,0,0,0.7,0.255814,no
0.740741,0.505747,0.253165,0.28,0,0,0.766667,0.255814,no
0.271605,0.471264,0.227848,0.2,0,0,0.633333,0.255814,no
0.222222,0.264368,0.443038,0.18,0,0,0.583333,0.302326,no
0.679012,0.712644,0.468354,0.47,0,0,0.45,0.406977,no
0.37037,0.298851,0.392405,0.29,0,0,0.583333,0.255814,no
0.679012,0.505747,0.379747,0.28,0,0,0.75,0.255814,no
0.283951,0.126437,0.164557,0.16,0,0,0.616667,0.255814,no
0.358025,0.298851,0.379747,0.21,0,0,0.65,0.325581,no
0.271605,0.45977,0.303797,0.14,0,0,0.65,0.767442,no
0.45679,0.402299,0.468354,0.27,0,0,0.633333,0.255814,no
0.555556,0.528736,0.443038,0.23,0,0,0.55,0.255814,no
0.555556,0.494253,0.443038,0.22,0,0,0.533333,0.255814,no
0.580247,0.563218,0.35443,0.1,0,0,0.6,0.255814,no
0.419753,0.356322,0.379747,0.33,0,0,0.7,0.255814,no
0.234568,0.413793,0.405063,0.19,0,0,0.616667,0.255814,no
0.320988,0.517241,0.341772,0.67,0,0,0.65,0.255814,no
0.296296,0.252874,0.392405,0.52,0,0,0.683333,0.255814,no
0.432099,0.402299,0.291139,0.08,0,0,0.65,0.313953,no
0.506173,0.390805,0.303797,0.22,0,0,0.633333,0.337209,no
0.185185,0.37931,0.455696,0.09,0,0,0.7,0.255814,no
0.358025,0.471264,0.43038,0.12,0,0,0.633333,0.255814,no
0.345679,0.298851,0.481013,0.15,0,0,0.733333,0.255814,no
0.765432,0.827586,0.329114,0.37,0,0,0.716667,0.255814,no
0.358025,0.333333,0.392405,0.24,0,0,0.716667,0.255814,no
0.481481,0.436782,0.35443,0.27,0,0,0.733333,0.337209,no
0.506173,0.425287,0.291139,0.61,0,0,0.566667,0.255814,no
0.320988,0.482759,0.417722,0.66,0,0,0.566667,0.255814,no
0.333333,0.413793,0.468354,0.23,0,0,0.516667,0.255814,no
0.37037,0.333333,0.443038,0.55,0,0,0.483333,0.290698,no
0.54321,0.45977,0.417722,0.4,0,0,0.616667,0.255814,no
0.382716,0.471264,0.405063,0.54,0,0,0.633333,0.313953,no
0.54321,0.505747,0.481013,0.4,0,0,0.416667,0.255814,no
0.296296,0.505747,0.379747,0.49,0,0,0.583333,0.255814,no
0.358025,0.367816,0.43038,0.5,0,0,0.666667,0.255814,no
0.382716,0.517241,0.316456,0.46,0,0,0.55,0.255814,no
0.395062,0.471264,0.493671,0.57,0,0,0.75,0.255814,no
0.432099,0.448276,0.531646,0.37,0,0,0.55,0.255814,no
0.592593,0.563218,0.240506,0.43,0,1,0.616667,0.255814,no
0.111111,0.517241,0,0.13,0,0,0.633333,0.255814,no
0.246914,0.356322,0.177215,0.16,0,0,0.7,0.255814,no
0.753086,0.574713,0.303797,0.29,0,0,0.633333,0.255814,no
0.283951,0.390805,0.392405,0.41,0,0,0.666667,0.372093,no
0.209877,0.37931,0.518987,0.46,0,0,0.633333,0.383721,no
0.333333,0.287356,0.329114,0.22,0,0,0.65,0.313953,no
0.259259,0.367816,0.443038,0.2,0,0,0.533333,0.255814,no
0.37037,0.551724,0.35443,0.25,0,0,0.616667,0.325581,no
0.234568,0.425287,0.202532,0.26,0,0,0.5,0.255814,no
0.617284,0.655172,0.392405,0.36,0,0,0.55,0.255814,no
0.518519,0.678161,0.227848,0.33,0,0,0.75,0.255814,no
0.728395,0.712644,0.240506,0.28,0,0,0.666667,0.255814,no
0.555556,0.505747,0.455696,0.27,0,0,0.4,0.255814,no
0.209877,0.517241,0.177215,0.24,0,0,0.516667,0.255814,no
0.209877,0.344828,0.227848,0.12,0,0,0.6,0.255814,no
0.345679,0.448276,0.367089,0.4,0,0,0.466667,0.255814,no
0.345679,0.298851,0.43038,0.24,0,0,0.566667,0.255814,no
0.308642,0.528736,0.189873,0.16,0,0,0.65,0.255814,no
0.283951,0.252874,0.417722,0.18,0,0,0.716667,0.255814,no
0.135802,0.494253,0.43038,0.18,0,0,0.616667,0.255814,no
0.567901,0.597701,0.392405,0.16,0,0,0.783333,0.255814,no
0.098765,0.54023,0.341772,0.23,0,0,0.7,0.255814,no
0.320988,0.321839,0.367089,0.46,0,0.60241,0.616667,0.313953,no
0.320988,0.367816,0.367089,0.6,0,0,0.6,0.255814,no
0.493827,0.62069,0.443038,0.41,0,0,0.566667,0.255814,no
0.345679,0.390805,0.455696,0.48,0,0,0.583333,0.255814,no
0.197531,0.448276,0.341772,0.22,0,0,0.216667,0.255814,no
0.345679,0.321839,0.56962,0.26,0,0,0.666667,0.255814,no
0.555556,0.563218,0.101266,0.28,0,0,0.633333,0.255814,no
0.444444,0.45977,0.43038,0.46,0,0,0.65,0.255814,no
0.592593,0.563218,0.417722,0.43,0,0,0.666667,0.255814,no
0.493827,0.54023,0.35443,0.43,0,0,0.666667,0.360465,no
0.432099,0.482759,0.164557,0.31,0,0,0.683333,0.255814,no
0.481481,0.563218,0.417722,0.17,0,0,0.583333,0.255814,no
0.333333,0.666667,0.341772,0.53,0,0,0.666667,0.255814,no
0.271605,0.310345,0.481013,0.47,0,0,0.583333,0.5,no
0.382716,0.586207,0.455696,0.15,0,0,0.566667,0.255814,no
0.259259,0.563218,0.392405,0.31,0,0,0.6,0.360465,no
0.506173,0.425287,0.455696,0.25,0,0,0.466667,0.302326,no
0.185185,0.471264,0.367089,0.21,0,0,0.683333,0.360465,no
0.246914,0.517241,0.367089,0.26,0,0,0.683333,0.686047,no
0.123457,0.218391,0.468354,0.15,0,0,0.616667,0.348837,no
0.246914,0.390805,0.443038,0.16,0,0,0.566667,0.255814,no
0.296296,0.505747,0.405063,0.16,0,0,0.683333,0.255814,no
0.493827,0.402299,0.367089,0.14,0,0,0.533333,0.290698,no
0.246914,0.482759,0.341772,0.31,0,0,0.683333,0.337209,no
0.308642,0.298851,0.405063,0.14,0,0,0.683333,0.511628,no
0.320988,0.344828,0.379747,0.24,0,0,0.683333,0.383721,no
0.283951,0.344828,0.443038,0.1,0,0,0.6,0.255814,no
0.641975,0.528736,0.341772,0.43,0,0,0.766667,0.255814,no
0.259259,0.333333,0.632911,0.21,0,0,0.683333,0.372093,no
0.432099,0.413793,0.35443,0.2,0,0,0.65,0.255814,no
0.197531,0.367816,0.278481,0.11,0,0,0.716667,0.255814,no
0.283951,0.333333,0.265823,0.2,0,0,0.6,0.255814,no
0.08642,0.425287,0.151899,0.28,0,0,0.633333,0.255814,no
0.246914,0.333333,0.21519,0.4,0,0,0.6,0.546512,no
0.08642,0.356322,0.113924,0.11,0,0,0.633333,0.546512,no
0.358025,0.551724,0.291139,0.2,0,0,0.566667,0.255814,no
0.580247,0.367816,0.367089,0.23,0,0,0.6,0.255814,no
0.024691,0.321839,0.43038,0.11,0,0,0.616667,0.313953,no
0.234568,0.632184,0.291139,0.45,0,0,0.666667,0.255814,no
0.308642,0.287356,0.341772,0.32,0,1,0.666667,0.255814,no
0.246914,0.310345,0.405063,0.67,0,0,0.566667,0.255814,no
0.061728,0.241379,0.607595,0.18,0,0,0.65,0.255814,no
0.37037,0.344828,0.379747,0.13,0,0,0.566667,0.255814,no
0.432099,0.287356,0.392405,0.18,0,0,0.583333,0.255814,no
0.296296,0.505747,0.405063,0.53,0,0,0.666667,0.290698,no
0.358025,0.586207,0.506329,0.23,0,0,0.783333,0.255814,no
0.148148,0.482759,0.392405,0.17,0,0,0.65,0.255814,no
0.160494,0.505747,0.367089,0.15,0,0,0.666667,0.255814,no
0.160494,0.333333,0.392405,0.24,0,0,0.783333,0.255814,no
0.493827,0.425287,0.392405,0.28,0,0,0.7,0.290698,no
0.222222,0.333333,0.379747,0.11,0,0,0.733333,0.255814,no
0.691358,0.655172,0.21519,0.27,0,0,0.6,0.255814,no
0.518519,0.678161,0.126582,0.33,0,0,0.716667,0.255814,no
0.308642,0.333333,0.493671,0.21,0,0,0.733333,0.255814,no
0.407407,0.436782,0.379747,0.54,0,0,0.7,0.313953,no
0.54321,0.494253,0.303797,0.58,0,0,0.633333,0.255814,no
0.407407,0.494253,0.417722,0.53,0,0,0.533333,0.255814,no
0.481481,0.517241,0.468354,0.49,0,0,0.6,0.302326,no
0.654321,0.563218,0.164557,0.29,0,0,0.716667,0.325581,no
0.654321,0.551724,0.202532,0.3,0,0,0.733333,0.255814,no
0.333333,0.344828,0.21519,0.33,0,0,0.583333,0.325581,no
0.469136,0.505747,0.291139,0.37,0,0,0.65,0.290698,no
0.283951,0.206897,0.518987,0.12,0,0,0.45,0.255814,no
0.37037,0.37931,0.303797,0.45,0,0,0.65,0.255814,no
0.283951,0.517241,0.253165,0.65,0,0,0.55,0.302326,no
0.493827,0.551724,0.164557,0.22,0,0,0.633333,0.255814,no
0.407407,0.735632,0.21519,0.34,0,0,0.633333,0.255814,no
0.382716,0.448276,0.493671,0.51,0,0,0.583333,0.255814,no
0.37037,0.54023,0.278481,0.56,0,0,0.383333,0.255814,no
0.382716,0.321839,0.291139,0.5,0,0,0.483333,0.255814,no
0.382716,0.310345,0.443038,0.7,0,0,0.616667,0.255814,no
0.222222,0.517241,0.291139,0.51,0,0,0.516667,0.255814,no
0.444444,0.367816,0.303797,0.54,0,0,0.616667,0.255814,no
0.592593,0.632184,0.316456,0.29,0,0,0.55,0.255814,no
0.419753,0.436782,0.316456,0.28,0,0,0.583333,0.255814,no
0.197531,0.609195,0.35443,0.21,0,0,0.683333,0.290698,no
0.407407,0.310345,0.493671,0.12,0,0,0.7,0.255814,no
0.716049,0.758621,0.468354,0.23,0,0,0.583333,0.255814,no
0.345679,0.37931,0.481013,0.49,0,0,0.716667,0.255814,no
0.666667,0.804598,0.278481,0.3,0,0,0.7,0.255814,no
0.728395,0.701149,0.468354,0.25,1,0,0.666667,0.255814,no
0.62963,0.597701,0.417722,0.28,0,0,0.783333,0.465116,no
0.345679,0.471264,0.202532,0.14,0,0,0.616667,0.255814,no
0.469136,0.321839,0.481013,0.24,0,0,0.45,0.255814,no
0.45679,0.321839,0.468354,0.21,0,0,0.483333,0.255814,no
0.617284,0.551724,0.21519,0.27,0,0,0.65,0.255814,no
0.222222,0.45977,0.493671,0.19,0,0.60241,0.483333,0.255814,no
0.209877,0.275862,0.151899,0.14,0,0,0.733333,0.360465,no
0.777778,0.747126,0.35443,0.23,0,0,0.55,0.255814,no
0.777778,0.712644,0.417722,0.23,0,0,0.55,0.255814,no
0.271605,0.436782,0.468354,0.15,0,0,0.533333,0.313953,no
0.234568,0.436782,0.683544,0.17,0,0,0.7,0.255814,no
0.234568,0.436782,0.683544,0.17,0,0,0.7,0.255814,no
0.419753,0.356322,0.379747,0.33,0,0,0.65,0.255814,no
0.333333,0.471264,0.632911,0.15,0,0,0.766667,0.255814,no
0.259259,0.494253,0.341772,0.14,0,0,0.566667,0.255814,no
0.419753,0.45977,0.493671,0.13,0,0,0.6,0.255814,no
0.283951,0.505747,0.64557,0.22,0,0,0.733333,0.255814,no
0.320988,0.16092,0.455696,0.36,0,0,0.65,0.209302,no
0.012346,0.149425,0.392405,0.14,0,0,0.666667,0.511628,no
0.395062,0.45977,0.43038,0.14,0,0,0.633333,0.255814,no
0.308642,0.632184,0.303797,0.51,0,0,0.65,0.476744,no
0.098765,0.298851,0.56962,0.11,0,0,0.516667,0.255814,no
0.444444,0.333333,0.164557,0.3,0,0,0.65,0.255814,no
0.185185,0.333333,0.113924,0.23,0,0,0.666667,0.255814,no
0.308642,0.45977,0.392405,0.23,0,1,0.633333,0.255814,no
0.209877,0.632184,0.21519,0.08,0,0,0.666667,0.290698,no
0.234568,0.402299,0.481013,0.22,0,0,0.55,0.255814,no
0.753086,0.37931,0.367089,0.15,0,0,0.666667,0.255814,no
0.345679,0.597701,0.417722,0.62,0,0,0.666667,0.418605,no
0.432099,0.333333,0.253165,0.16,0,0,0.65,0.255814,no
0.333333,0.252874,0.405063,0.16,0,0,0.633333,0.337209,no
0.395062,0.482759,0.177215,0.16,0,0,0.633333,0.546512,no
0.45679,0.448276,0.43038,0.19,0,0,0.683333,0.255814,no
0.790123,0.517241,0.151899,0.04,0,0,0.666667,0.255814,no
0.246914,0.367816,0.405063,0.18,0,0,0.683333,0.255814,no
0.407407,0.471264,0.367089,0.21,0,0,0.583333,0.348837,no
0.209877,0.413793,0.113924,0.22,0,0,0.65,0.360465,no
0.728395,0.655172,0.139241,0.23,0,0,0.666667,0.255814,no
0.444444,0.37931,0.405063,0.11,0,0,0.65,0.55814,no
0.320988,0.494253,0.417722,0.32,0,0,0.733333,0.255814,no
0.320988,0.494253,0.405063,0.32,0,0,0.733333,0.255814,no
0.123457,0.344828,0.240506,0.15,0,0,0.666667,0.255814,no
0.407407,0.712644,0.202532,0.14,0,0,0.55,0.255814,no
0.641975,0.494253,0.227848,0.27,0,0,0.65,0.255814,no
0.481481,0.54023,0.278481,0.12,0,0,0.7,0.255814,no
0.432099,0.597701,0.35443,0.34,0,0,0.65,0.255814,no
0.469136,0.528736,0.291139,0.16,0,0,0.65,0.255814,no
0.493827,0.517241,0.316456,0.19,0,0,0.716667,0.313953,no
0.901235,0.551724,0.240506,0.22,0,0,0.683333,0.255814,no
0.444444,0.494253,0.303797,0.14,0,0,0.683333,0.255814,no
0.54321,0.551724,0.253165,0.22,0,0,0.633333,0.255814,no
0.481481,0.45977,0.21519,0.18,0,0,0.65,0.255814,no
0.209877,0.37931,0.278481,0.19,0,0,0.583333,0.255814,no
0.160494,0.390805,0.43038,0.12,0,0,0.65,0.255814,no
0.185185,0.287356,0.303797,0.19,0,0,0.633333,0.255814,no
0.530864,0.517241,0.316456,0.13,0,0,0.666667,0.255814,no
0.419753,0.632184,0.265823,0.19,0,0,0.666667,0.255814,no
0.666667,0.482759,0.253165,0.16,0,0,0.55,0.255814,no
0.716049,0.770115,0.379747,0.4,1,0,0.683333,0.255814,no
0.716049,0.850575,0.329114,0.37,0,0,0.583333,0.255814,no
0.197531,0.37931,0.35443,0.15,1,0,0.7,0.406977,no
0.296296,0.436782,0.341772,0.14,0,0,0.616667,0.255814,no
0.469136,0.551724,0.303797,0.26,0,0,0.616667,0.255814,no
0.54321,0.563218,0.265823,0.12,0,0,0.65,0.290698,no
0.074074,0.310345,0.379747,0.18,0,0,0.616667,0.313953,no
0.45679,0.563218,0.405063,0.24,0,0,0.733333,0.255814,no
0.481481,0.54023,0.379747,0.24,0,0,0.666667,0.255814,no
0.641975,0.528736,0.405063,0.15,0,0,0.6,0.383721,no
0.333333,0.252874,0.151899,0.17,0,0,0.7,0.255814,no
0.432099,0.482759,0.265823,0.22,0,0,0.583333,0.255814,no
0.246914,0.356322,0.088608,0.12,0,0,0.55,0.313953,no
0.765432,0.793103,0.253165,0.36,0,0,0.433333,0.255814,no
0.617284,0.54023,0.379747,0.13,0,1,0.65,0.255814,no
0.333333,0.402299,0.291139,0.21,0,0,0.7,0.255814,no
0.197531,0.264368,0.455696,0.17,0,0,0.65,0.255814,no
0.679012,0.678161,0.329114,0.25,0,0,0.733333,0.255814,no
0.283951,0.448276,0.240506,0.17,0,0,0.616667,0.302326,no
0.888889,0.735632,0.164557,0.47,0,0,0.65,0.360465,no
0.765432,0.885057,0.227848,0.41,0,0,0.666667,0.255814,no
0.320988,0.310345,0.443038,0.14,0,0,0.683333,0.255814,no
0.345679,0.390805,0.468354,0.16,0,0,0.6,0.325581,no
0.271605,0.298851,0.379747,0.52,0,0,0.6,0.255814,no
0.222222,0.241379,0.139241,0.22,0,0,0.716667,0.255814,no
0.617284,0.54023,0.367089,0.31,0,0,0.7,0.255814,no
0.197531,0.494253,0.189873,0.3,0,0,0.666667,0.290698,no
0.802469,0.609195,0.189873,0.78,0,0,0.6,0.581395,no
0.395062,0.517241,0.417722,0.29,0,0,0.666667,0.255814,no
0.444444,0.609195,0.455696,0.32,0,0,0.733333,0.395349,no
0.358025,0.252874,0.265823,0.21,0,0,0.733333,0.255814,no
0.530864,0.517241,0.392405,0.15,0,0,0.65,0.337209,no
0.308642,0.436782,0.202532,0.15,0,0,0.633333,0.255814,no
0.382716,0.425287,0.341772,0.17,0,0,0.566667,0.302326,no
0.37037,0.37931,0.164557,0.21,0,0,0.7,0.255814,no
0.62963,0.643678,0.278481,0.33,0,0,0.75,0.255814,no
0.320988,0.333333,0.392405,0.2,0,0,0.616667,0.290698,no
0.395062,0.252874,0.316456,0.15,0,0,0.633333,0.488372,no
0.283951,0.298851,0.329114,0.13,0,0,0.616667,0.313953,no
0.160494,0.287356,0.392405,0.2,0,0,0.65,0.325581,no
0.493827,0.597701,0.392405,0.3,0,0,0.55,0.360465,no
0.271605,0.448276,0.253165,0.11,0,0,0.683333,0.406977,no
0.222222,0.229885,0.367089,0.12,0,0,0.633333,0.627907,no
0.320988,0.494253,0.35443,0.17,0,0,0.65,0.255814,no
0.506173,0.310345,0.481013,0.18,0,0,0.583333,0.255814,no
0.888889,0.643678,0.455696,0.45,0,0,0.716667,0.255814,no
0.234568,0.390805,0.405063,0.12,0,0,0.583333,0.255814,no
0.493827,0.344828,0.392405,0.19,0,0,0.7,0.313953,no
0.555556,0.45977,0.303797,0.13,0,0,0.666667,0.255814,no
0.37037,0.206897,0.164557,0.13,0,0,0.65,0.255814,no
0.407407,0.436782,0.379747,0.12,0,0,0.633333,0.465116,no
0.37037,0.344828,0.341772,0.15,0,0,0.7,0.290698,no
0.37037,0.390805,0.392405,0.16,0,0,0.666667,0.325581,no
0.358025,0.298851,0.35443,0.18,0,0,0.633333,0.255814,no
0.308642,0.241379,0.43038,0.18,0,0,0.65,0.255814,no
0.37037,0.333333,0.417722,0.17,0,0,0.616667,0.418605,no
0.012346,0.241379,0.151899,0.1,0,0,0.583333,0.360465,no
0.679012,0.45977,0.367089,0.08,0,0,0.7,0.360465,no
0.617284,0.402299,0.21519,0.15,0,0,0.7,0.255814,no
0.135802,0.425287,0.329114,0.11,0,0,0.55,0.255814,no
0.308642,0.436782,0.341772,0.38,0,0,0.65,0.255814,no
0.148148,0.367816,0.367089,0.17,0,0,0.6,0.255814,no
0.444444,0.321839,0.443038,0.21,0,0,0.65,0.255814,no
0.259259,0.402299,0.367089,0.17,0,0,0.683333,0.581395,no
0.481481,0.367816,0.341772,0.24,0,0,0.65,0.430233,no
0.481481,0.321839,0.379747,0.26,0,0,0.633333,0.430233,no
0.617284,0.425287,0.35443,0.42,0,0,0.6,0.255814,no
0.234568,0.413793,0.506329,0.13,0,0,0.683333,0.255814,no
0.024691,0.287356,0.35443,0.16,0,0,0.633333,0.523256,no
0.469136,0.528736,0.367089,0.58,0,0,0.666667,0.255814,no
0.358025,0.241379,0.329114,0.14,0,0,0.566667,0.302326,no
0.197531,0.310345,0.405063,0.18,0,0,0.483333,0.44186,no
0.345679,0.367816,0.405063,0.62,0,0,0.55,0.255814,no
0.419753,0.344828,0.329114,0.15,0,0,0.75,0.255814,no
0.333333,0.367816,0.443038,0.16,0,0,0.716667,0.255814,no
0.358025,0.37931,0.21519,0.29,0,0,0.666667,0.255814,no
0.45679,0.356322,0.443038,0.19,0,0,0.683333,0.255814,no
0.395062,0.574713,0.113924,0.35,0,0,0.666667,0.313953,no
0.419753,0.632184,0.164557,0.42,0,0,0.683333,0.313953,no
0.17284,0.172414,0.126582,0.24,0,0,0.666667,0.255814,no
0.814815,0.827586,0.113924,0.31,0,0,0.7,0.488372,no
0.518519,0.471264,0.35443,0.16,0,0,0.683333,0.488372,no
0.444444,0.45977,0.443038,0.29,0,0,0.583333,0.255814,no
0.580247,0.563218,0.392405,0.17,0,0,0.6,0.255814,no
0.308642,0.321839,0.468354,0.2,0,0,0.733333,0.290698,no
0.222222,0.563218,0.164557,0.25,0,0,0.633333,0.255814,no
0.320988,0.494253,0.379747,0.64,0,0,0.683333,0.255814,no
0.234568,0.37931,0.392405,0.75,0,0,0.616667,0.302326,no
0.518519,0.471264,0.35443,0.19,0,0,0.683333,0.546512,no
0.395062,0.632184,0.35443,0.59,0,0,0.683333,0.313953,no
0.271605,0.195402,0.35443,0.28,0,0,0.683333,0.255814,no
0.271605,0.344828,0.367089,0.28,0,0,0.616667,0.255814,no
0.135802,0.425287,0.164557,0.26,0,0,0.633333,0.255814,no
0.37037,0.310345,0.164557,0.26,0,0,0.616667,0.255814,no
0.185185,0.310345,0.113924,0.23,0,0,0.633333,0.255814,no
0.296296,0.356322,0.113924,0.18,0,0,0.633333,0.255814,no
0.296296,0.367816,0.202532,0.12,0,0,0.583333,0.255814,no
0.320988,0.505747,0.113924,0.17,0,0,0.633333,0.255814,no
0.320988,0.505747,0.113924,0.17,0,0,0.633333,0.255814,no
0.283951,0.356322,0.151899,0.17,0,0,0.683333,0.313953,no
0.407407,0.425287,0.405063,0.1,0,0,0.583333,0.255814,no
0.419753,0.494253,0.35443,0.46,0,0,0.65,0.255814,no
0.320988,0.471264,0.417722,0.62,0,0,0.666667,0.255814,no
0.395062,0.344828,0.531646,0.18,0,0,0.65,0.255814,no
0.395062,0.448276,0.341772,0.5,0,0,0.633333,0.255814,no
0.444444,0.413793,0.367089,0.46,0,0,0.65,0.290698,no
0.382716,0.37931,0.392405,0.16,0,0,0.65,0.302326,no
0.382716,0.45977,0.303797,0.44,0,0,0.6,0.255814,no
0.320988,0.528736,0.405063,0.74,0,0,0.566667,0.290698,no
0.469136,0.551724,0.43038,0.67,0,0,0.583333,0.255814,no
0.592593,0.436782,0.405063,0.28,0,0,0.633333,0.255814,no
0.197531,0.413793,0.329114,0.22,0,0,0.616667,0.325581,no
0.345679,0.574713,0.56962,0.45,0,0,0.4,0.127907,no
0.395062,0.241379,0.278481,0.18,0,0,0.583333,0.290698,no
0.296296,0.436782,0.493671,0.25,0,0,0.7,0.255814,no
0.345679,0.528736,0.278481,0.13,0,0,0.716667,0.348837,no
0.259259,0.367816,0.265823,0.17,0,0,0.683333,0.302326,no
0.864198,0.781609,0.189873,0.71,0,0,0.7,0.732558,no
0.481481,0.482759,0.392405,0.22,0,0,0.516667,0.255814,no
0.493827,0.505747,0.316456,0.14,0,0,0.65,0.255814,no
0.37037,0.321839,0.139241,0.21,0,0,0.616667,0.372093,no
0.197531,0.45977,0.177215,0.33,0,0,0.616667,0.372093,no
0.382716,0.37931,0.265823,0.32,0,0,0.716667,0.639535,no
0.604938,0.425287,0.278481,0.27,0,0,0.8,0.255814,no
0.333333,0.321839,0.367089,0.44,0,0,0.666667,0.255814,no
0.160494,0.264368,0.164557,0.19,0,0,0.7,0.302326,no
0.259259,0.436782,0.265823,0.13,0,0,0.533333,0.290698,no
0.62963,0.689655,0.202532,0.37,0,0,0.583333,0.360465,no
0.765432,0.724138,0.139241,0.37,0,0,0.633333,0.255814,no
0.567901,0.551724,0.227848,0.3,0,0,0.733333,0.325581,no
0.345679,0.344828,0.177215,0.32,0,0,0.683333,0.255814,no
0.283951,0.137931,0.493671,0.14,0,0,0.533333,0.255814,no
0.814815,0.494253,0.151899,0.38,1,0,0.7,0.290698,no
0.592593,0.574713,0.164557,0.41,0,0,0.783333,0.383721,no
0.62963,0.689655,0.21519,0.36,0,0,0.683333,0.255814,no
0.432099,0.436782,0.417722,0.52,0,0,0.566667,0.290698,no
0.419753,0.425287,0.417722,0.56,0,0,0.6,0.476744,no
0.802469,0.574713,0.21519,0.23,0,0,0.666667,0.255814,no
0.864198,0.735632,0.189873,0.34,0,0,0.516667,0.255814,no
0.358025,0.344828,0.303797,0.17,0,0,0.583333,0.430233,no
0.209877,0.252874,0.329114,0.22,0,0,0.516667,0.360465,no
0.296296,0.448276,0.405063,0.52,1,0,0.6,0.255814,no
0.234568,0.413793,0.417722,1,0,0,0.616667,0.313953,no
0.802469,0.850575,0.303797,0.54,0,0,0.25,0.255814,no
0.098765,0.494253,0.443038,0.18,0,0,0.65,0.255814,no
0.864198,0.793103,0.493671,0.49,0,0,0.7,0.255814,no
0.82716,0.908046,0.367089,0.37,1,0,0.666667,0.372093,no
0.222222,0.482759,0.101266,0.32,0,0,0.633333,0.255814,no
0.839506,0.804598,0.455696,0.36,0,0,0.383333,0.255814,no
0.296296,0.367816,0.417722,0.14,0,0,0.616667,0.360465,no
0.716049,0.54023,0.265823,0.33,0,0,0.733333,0.255814,no
0.703704,0.701149,0.443038,0.34,0,0,0.633333,0.348837,no
0.481481,0.724138,0.240506,0.37,0,0,0.683333,0.348837,no
0.925926,0.54023,0.151899,0.49,0,0,0.683333,0.255814,no
0.209877,0.356322,0.455696,0.18,0,0,0.483333,0.255814,no
0.283951,0.436782,0.227848,0.22,0,0,0.6,0.302326,no
0.407407,0.402299,0.468354,0.55,0,0,0.583333,0.255814,no
0.283951,0.218391,0.341772,0.16,0,0,0.7,0.255814,no
0.358025,0.505747,0.392405,0.61,0,0,0.633333,0.255814,no
0.790123,0.45977,0.392405,0.2,0,0,0.583333,0.290698,no
0.209877,0.241379,0.316456,0.19,0,0,0.65,0.255814,no
0.395062,0.344828,0.329114,0.19,0,0,0.65,0.430233,no
0.432099,0.471264,0.35443,0.14,0,0,0.716667,0.255814,no
0.407407,0.563218,0.417722,0.19,0,0,0.616667,0.255814,no
0.333333,0.310345,0.21519,0.18,0,0,0.6,0.255814,no
